NOM_CAPA,longitude,latitude,EQUIPAMENT,NOM_DISTRICTE,NOM_BARRI
Metro i línies urbanes FGC,2.143318,41.375282,METRO (L1) - Hostafrancs-,Sants-Montjuïc,Hostafrancs
Tramvia,2.136412,41.390505,"TRAMVIA (T1,T2,T3) - L'ILLA-",Les Corts,les Corts
Tramvia,2.188338,41.390398,TRAMVIA (T4) - WELLINGTON-,Sant Martí,la Vila Olímpica del Poblenou
Tramvia,2.204513,41.416358,"TRAMVIA (T5, T6) - SANT MARTÍ DE PROVENÇALS-",Sant Martí,Provençals del Poblenou
Metro i línies urbanes FGC,2.140998,41.418307,METRO (L3) - Penitents-,Gràcia,Vallcarca i els Penitents
Metro i línies urbanes FGC,2.133122,41.323735,METRO (L10S) - ZAL | Riu Vell-,Sants-Montjuïc,la Marina del Prat Vermell
Metro i línies urbanes FGC,2.176511,41.425073,METRO (L5) - Maragall-,Sant Andreu,el Congrés i els Indians
Metro i línies urbanes FGC,2.148374,41.422025,METRO (L5) - El Coll | La Teixonera-,Horta-Guinardó,la Teixonera
Metro i línies urbanes FGC,2.19359,41.429587,METRO (L9NL10N) - Onze de Setembre-,Sant Andreu,Sant Andreu
Metro i línies urbanes FGC,2.163729,41.385431,Universitat (Plaça Universitat)-,Eixample,Sant Antoni
Metro i línies urbanes FGC,2.187468,41.423061,La Sagrera (Jardins d'Elx)-,Sant Andreu,la Sagrera
Metro i línies urbanes FGC,2.190689,41.442422,Torras i Bages (Palomar / costat muntanya)-,Sant Andreu,Sant Andreu
Metro i línies urbanes FGC,2.170274,41.374845,Paral·lel (Avinguda Paral·lel)-,Sants-Montjuïc,el Poble-sec
Metro i línies urbanes FGC,2.154836,41.379687,Rocafort (Calàbria / Diputació)-,Eixample,la Nova Esquerra de l'Eixample
Metro i línies urbanes FGC,2.194088,41.448962,Trinitat Vella (Parc de la Trinitat)-,Sant Andreu,la Trinitat Vella
Metro i línies urbanes FGC,2.13707,41.330056,Ecoparc (Carrer A (costat mar))-,Sants-Montjuïc,la Marina del Prat Vermell
Metro i línies urbanes FGC,2.133155,41.323858,ZAL | Riu Vell (Carrer A / Carrer 5)-,Sants-Montjuïc,la Marina del Prat Vermell
Ferrocarrils Generalitat (FGC),2.110914,41.409282,FGC - PEU FUNICULAR-,Sarrià-Sant Gervasi,Sarrià
Ferrocarrils Generalitat (FGC),2.157956,41.392909,FGC - PROVENÇA-,Eixample,l'Antiga Esquerra de l'Eixample
Tramvia,2.121492,41.386718,"TRAMVIA (T1,T2,T3) - PIUS XII-",Les Corts,la Maternitat i Sant Ramon
Ferrocarrils Generalitat (FGC),2.147573,41.401403,FGC - PLAÇA MOLINA<center>-,Sarrià-Sant Gervasi,el Putxet i el Farró
