name,latitude,longitude,type,geometry
Gran Via - Castillejos,41.403628,2.186434,"{'typepoint': {'type': 'Point', 'coordinates': [41.403628, 2.186434]}}",POINT (2.186434 41.403628)
Diagonal - Manuel Ballbé,41.384044,2.110017,"{'typepoint': {'type': 'Point', 'coordinates': [41.384044, 2.110017]}}",POINT (2.110017 41.384044)
Diagonal - Parc de Cervantes,41.383631,2.108386,"{'typepoint': {'type': 'Point', 'coordinates': [41.383631, 2.108386]}}",POINT (2.108386 41.383631)
Portal de la Pau,41.376695,2.178541,"{'typepoint': {'type': 'Point', 'coordinates': [41.376695, 2.178541]}}",POINT (2.178541 41.376695)
Moll de la Fusta,41.378845,2.180278,"{'typepoint': {'type': 'Point', 'coordinates': [41.378845, 2.180278]}}",POINT (2.180278 41.378845)
Pg  Colom - Via Laietana,41.380449,2.181573,"{'typepoint': {'type': 'Point', 'coordinates': [41.380449, 2.181573]}}",POINT (2.181573 41.380449)
Pg  Colom - Via Laietana,41.380454,2.181475,"{'typepoint': {'type': 'Point', 'coordinates': [41.380454, 2.181475]}}",POINT (2.181475 41.380454)
Moll de la Fusta,41.379098,2.180379,"{'typepoint': {'type': 'Point', 'coordinates': [41.379098, 2.180379]}}",POINT (2.180379 41.379098)
Portal de la Pau,41.3767,2.178442,"{'typepoint': {'type': 'Point', 'coordinates': [41.3767, 2.178442]}}",POINT (2.178442 41.3767)
Pg  Santa Coloma - Pg  Torras i Bages,41.444686,2.189161,"{'typepoint': {'type': 'Point', 'coordinates': [41.444686, 2.189161]}}",POINT (2.189161 41.444686)
Ctra Nacional 152 - Av l'Alzinar,41.46091,2.183157,"{'typepoint': {'type': 'Point', 'coordinates': [41.46091, 2.183157]}}",POINT (2.183157 41.46091)
Pg Sant Gervasi - Pl Kennedy,41.410353,2.137659,"{'typepoint': {'type': 'Point', 'coordinates': [41.410353, 2.137659]}}",POINT (2.137659 41.410353)
Av República Argentina - Baixada Gomis,41.411609,2.142436,"{'typepoint': {'type': 'Point', 'coordinates': [41.411609, 2.142436]}}",POINT (2.142436 41.411609)
Av Madrid - Arizala,41.377042,2.125151,"{'typepoint': {'type': 'Point', 'coordinates': [41.377042, 2.125151]}}",POINT (2.125151 41.377042)
Av Ferrer i Guàrdia - Mèxic,41.371168,2.149875,"{'typepoint': {'type': 'Point', 'coordinates': [41.371168, 2.149875]}}",POINT (2.149875 41.371168)
Poble Espanyol,41.369413,2.146283,"{'typepoint': {'type': 'Point', 'coordinates': [41.369413, 2.146283]}}",POINT (2.146283 41.369413)
Gran Vista - Doctor Bové,41.419148,2.158198,"{'typepoint': {'type': 'Point', 'coordinates': [41.419148, 2.158198]}}",POINT (2.158198 41.419148)
Doctor Bové - Penyal,41.421063,2.162704,"{'typepoint': {'type': 'Point', 'coordinates': [41.421063, 2.162704]}}",POINT (2.162704 41.421063)
Doctor Bové - Gran Vista,41.419353,2.158382,"{'typepoint': {'type': 'Point', 'coordinates': [41.419353, 2.158382]}}",POINT (2.158382 41.419353)
Doctor Bové - Ptge de la  Cadernera,41.420652,2.160419,"{'typepoint': {'type': 'Point', 'coordinates': [41.420652, 2.160419]}}",POINT (2.160419 41.420652)
Doctor Bové - Baixada Passerell,41.420639,2.160178,"{'typepoint': {'type': 'Point', 'coordinates': [41.420639, 2.160178]}}",POINT (2.160178 41.420639)
Doctor Bové - Conca de Tremp,41.419021,2.157833,"{'typepoint': {'type': 'Point', 'coordinates': [41.419021, 2.157833]}}",POINT (2.157833 41.419021)
Doctor Bové - Pg de la Font de la Mulassa,41.420911,2.163092,"{'typepoint': {'type': 'Point', 'coordinates': [41.420911, 2.163092]}}",POINT (2.163092 41.420911)
Hospital del Mar,41.38358,2.195021,"{'typepoint': {'type': 'Point', 'coordinates': [41.38358, 2.195021]}}",POINT (2.195021 41.38358)
Manuel Girona - Capità Arenas,41.391352,2.125005,"{'typepoint': {'type': 'Point', 'coordinates': [41.391352, 2.125005]}}",POINT (2.125005 41.391352)
França Xica - Concòrdia,41.372163,2.159497,"{'typepoint': {'type': 'Point', 'coordinates': [41.372163, 2.159497]}}",POINT (2.159497 41.372163)
França Xica - Grases,41.372081,2.156342,"{'typepoint': {'type': 'Point', 'coordinates': [41.372081, 2.156342]}}",POINT (2.156342 41.372081)
Pg de Gràcia - Diagonal,41.39614,2.160125,"{'typepoint': {'type': 'Point', 'coordinates': [41.39614, 2.160125]}}",POINT (2.160125 41.39614)
